epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,230.968,1.68281,0.75929,0.92096,0.65349,0.625,0.58753,0.15333,2.7983,1.45911,1.34975,0.00159274,0.00159274,0.00159274
92,233.494,1.78272,0.76544,0.9324,0.78737,0.625,0.66071,0.20139,2.65988,1.51346,1.35186,0.00159191,0.00159191,0.00159191
93,235.997,1.80662,0.77978,0.95494,0.41192,0.41667,0.38662,0.10689,2.88094,1.8167,1.39307,0.00159108,0.00159108,0.00159108
94,238.521,1.6741,0.76761,0.9289,0.31682,0.25,0.18641,0.05194,2.99122,2.14372,1.39752,0.00159026,0.00159026,0.00159026
95,241.061,1.76255,0.78179,0.94085,0.28747,0.25,0.2687,0.06728,2.88693,1.95506,1.33127,0.00158943,0.00158943,0.00158943
96,243.58,1.57654,0.73423,0.86546,0.59451,0.5,0.50748,0.12233,2.92748,1.50043,1.38718,0.00158861,0.00158861,0.00158861
97,246.06,1.7967,0.77372,0.9165,0.65932,0.66667,0.6623,0.15685,2.93254,1.22054,1.43041,0.00158778,0.00158778,0.00158778
98,248.653,1.71112,0.76587,0.91344,0.69687,0.58333,0.59023,0.14577,2.93941,1.27152,1.36995,0.00158696,0.00158696,0.00158696
99,251.151,1.78917,0.8066,0.93498,0.62609,0.5,0.54372,0.13722,2.89094,1.51702,1.30414,0.00158613,0.00158613,0.00158613
100,253.722,1.81311,0.8049,0.94864,0.76777,0.68923,0.66791,0.20693,2.73508,1.16957,1.30766,0.00158531,0.00158531,0.00158531
101,256.244,1.73687,0.78038,0.91155,0.6439,0.625,0.61495,0.15033,2.9013,1.67246,1.3433,0.00158448,0.00158448,0.00158448
102,258.7,1.74939,0.81565,0.93465,0.66592,0.54167,0.53808,0.16052,2.89952,1.47723,1.34919,0.00158366,0.00158366,0.00158366
103,261.267,1.62394,0.76574,0.90488,0.61944,0.5,0.49334,0.12167,3.10269,1.2225,1.47757,0.00158283,0.00158283,0.00158283
104,263.887,1.72917,0.76165,0.91331,0.63089,0.58333,0.57606,0.15893,2.95834,1.20863,1.33402,0.00158201,0.00158201,0.00158201
